Date,Close
3/3/2015 17:30:00,82.79
3/4/2015 17:30:00,83.41
3/5/2015 17:30:00,84.05
3/6/2015 17:30:00,84.87
3/9/2015 17:30:00,85.56
3/10/2015 17:30:00,85.09
3/11/2015 17:30:00,88.49
3/12/2015 17:30:00,88.17
3/13/2015 17:30:00,89.53
3/16/2015 17:30:00,90.9
3/17/2015 17:30:00,89.73
3/18/2015 17:30:00,87.72
3/19/2015 17:30:00,88.61
3/20/2015 17:30:00,89.37
3/23/2015 17:30:00,86.98
3/24/2015 17:30:00,87.87
3/25/2015 17:30:00,88.28
3/26/2015 17:30:00,89
3/27/2015 17:30:00,90.1
3/30/2015 17:30:00,92.36
3/31/2015 17:30:00,91.47
4/1/2015 17:30:00,90.69
4/2/2015 17:30:00,90.48
4/7/2015 17:30:00,91.35
4/8/2015 17:30:00,91.44
4/9/2015 17:30:00,92.86
4/10/2015 17:30:00,94
4/13/2015 17:30:00,92.44
4/14/2015 17:30:00,91.66
4/15/2015 17:30:00,91.36
4/16/2015 17:30:00,89.66
4/17/2015 17:30:00,88.72
4/20/2015 17:30:00,87.75
4/21/2015 17:30:00,86.59
4/22/2015 17:30:00,85.79
4/23/2015 17:30:00,85.21
4/24/2015 17:30:00,85.69
4/27/2015 17:30:00,89.61
4/28/2015 17:30:00,87.86
4/29/2015 17:30:00,84.81
4/30/2015 17:30:00,85.3
5/4/2015 17:30:00,84.63
5/5/2015 17:30:00,82.87
5/6/2015 17:30:00,81.7
5/7/2015 17:30:00,83.23
5/8/2015 17:30:00,84.74
5/11/2015 17:30:00,85.11
5/12/2015 17:30:00,81.97
5/13/2015 17:30:00,81.7
5/14/2015 17:30:00,81.28
5/15/2015 17:30:00,79.59
5/18/2015 17:30:00,82
5/19/2015 17:30:00,85.63
5/20/2015 17:30:00,85.27
5/21/2015 17:30:00,85.19
5/22/2015 17:30:00,84.67
5/26/2015 17:30:00,82.94
5/27/2015 17:30:00,83.88
5/28/2015 17:30:00,82.18
5/29/2015 17:30:00,80.42
6/1/2015 17:30:00,80.44
6/2/2015 17:30:00,79.2
6/3/2015 17:30:00,79.61
6/4/2015 17:30:00,78.99
6/5/2015 17:30:00,78.09
6/8/2015 17:30:00,76.76
6/9/2015 17:30:00,76.5
6/10/2015 17:30:00,78.98
6/11/2015 17:30:00,79.54
6/12/2015 17:30:00,77.63
6/15/2015 17:30:00,76.12
6/16/2015 17:30:00,76.81
6/17/2015 17:30:00,75.76
6/18/2015 17:30:00,76.32
6/19/2015 17:30:00,77.48
6/22/2015 17:30:00,79.76
6/23/2015 17:30:00,80.47
6/24/2015 17:30:00,79.79
6/25/2015 17:30:00,79.78
6/26/2015 17:30:00,79.98
6/29/2015 17:30:00,77.29
6/30/2015 17:30:00,75.57
7/1/2015 17:30:00,77.89
7/2/2015 17:30:00,77.49
7/3/2015 17:30:00,76.51
7/6/2015 17:30:00,75.52
7/7/2015 17:30:00,74.45
7/8/2015 17:30:00,72.3
7/9/2015 17:30:00,74.12
7/10/2015 17:30:00,75.2
7/13/2015 17:30:00,75.77
7/14/2015 17:30:00,74.44
7/15/2015 17:30:00,73.75
7/16/2015 17:30:00,75.49
7/17/2015 17:30:00,75.41
7/20/2015 17:30:00,74.75
7/21/2015 17:30:00,74.09
7/22/2015 17:30:00,73
7/23/2015 17:30:00,73.04
7/24/2015 17:30:00,71.3
7/27/2015 17:30:00,69.38
7/28/2015 17:30:00,70.47
7/29/2015 17:30:00,69.12
7/30/2015 17:30:00,68.7
7/31/2015 17:30:00,68.49
8/3/2015 17:30:00,68.49
8/4/2015 17:30:00,69.41
8/5/2015 17:30:00,71.4
8/6/2015 17:30:00,70.93
8/7/2015 17:30:00,70.57
8/10/2015 17:30:00,71.16
8/11/2015 17:30:00,68.42
8/12/2015 17:30:00,66.05
8/13/2015 17:30:00,66.37
8/14/2015 17:30:00,67.79
8/17/2015 17:30:00,67.58
8/18/2015 17:30:00,66.71
8/19/2015 17:30:00,65.36
8/20/2015 17:30:00,63.8
8/21/2015 17:30:00,62.67
8/24/2015 17:30:00,59.62
8/25/2015 17:30:00,62.59
8/26/2015 17:30:00,61.74
8/27/2015 17:30:00,63.18
8/28/2015 17:30:00,62.9
8/31/2015 17:30:00,62.11
9/1/2015 17:30:00,60.36
9/2/2015 17:30:00,59.85
9/3/2015 17:30:00,61.66
9/4/2015 17:30:00,60.3
9/7/2015 17:30:00,60.51
9/8/2015 17:30:00,61.69
9/9/2015 17:30:00,62.42
9/10/2015 17:30:00,61.86
9/11/2015 17:30:00,61.5
9/14/2015 17:30:00,61.3
9/15/2015 17:30:00,62.02
9/16/2015 17:30:00,63.2
9/17/2015 17:30:00,62.59
9/18/2015 17:30:00,60.64
9/21/2015 17:30:00,50.2
9/22/2015 17:30:00,41.56
9/23/2015 17:30:00,42.33
9/24/2015 17:30:00,42.08
9/25/2015 17:30:00,40.74
9/28/2015 17:30:00,37.92
9/29/2015 17:30:00,37.54
9/30/2015 17:30:00,38.1
10/1/2015 17:30:00,37.53
10/2/2015 17:30:00,35.87
10/5/2015 17:30:00,37.17
10/6/2015 17:30:00,38.4
10/7/2015 17:30:00,40.45
10/8/2015 17:30:00,41.31
10/9/2015 17:30:00,42.22
10/12/2015 17:30:00,42.26
10/13/2015 17:30:00,41.23
10/14/2015 17:30:00,40.21
10/15/2015 17:30:00,39.89
