Date,Close
3/3/2015 17:30:00,71.75
3/4/2015 17:30:00,73.75
3/5/2015 17:30:00,74.72
3/6/2015 17:30:00,75.37
3/9/2015 17:30:00,75.55
3/10/2015 17:30:00,74.34
3/11/2015 17:30:00,77.17
3/12/2015 17:30:00,77.65
3/13/2015 17:30:00,78.03
3/16/2015 17:30:00,80.29
3/17/2015 17:30:00,76.87
3/18/2015 17:30:00,75.36
3/19/2015 17:30:00,75.64
3/20/2015 17:30:00,76.7
3/23/2015 17:30:00,74.34
3/24/2015 17:30:00,74.12
3/25/2015 17:30:00,73.42
3/26/2015 17:30:00,74.36
3/27/2015 17:30:00,74.15
3/30/2015 17:30:00,76.15
3/31/2015 17:30:00,75.21
4/1/2015 17:30:00,75.56
4/2/2015 17:30:00,73.51
4/7/2015 17:30:00,72.99
4/8/2015 17:30:00,72.02
4/9/2015 17:30:00,73.16
4/10/2015 17:30:00,74.3
4/13/2015 17:30:00,73.9
4/14/2015 17:30:00,72.86
4/15/2015 17:30:00,73.21
4/16/2015 17:30:00,72.79
4/17/2015 17:30:00,71.08
4/20/2015 17:30:00,72.6
4/21/2015 17:30:00,73.15
4/22/2015 17:30:00,73.33
4/23/2015 17:30:00,72.24
4/24/2015 17:30:00,73.05
4/27/2015 17:30:00,75.06
4/28/2015 17:30:00,74.54
4/29/2015 17:30:00,72.2
4/30/2015 17:30:00,72.36
5/4/2015 17:30:00,73.38
5/5/2015 17:30:00,71.45
5/6/2015 17:30:00,70.97
5/7/2015 17:30:00,71.45
5/8/2015 17:30:00,73.82
5/11/2015 17:30:00,73.81
5/12/2015 17:30:00,71.81
5/13/2015 17:30:00,70.71
5/14/2015 17:30:00,72.56
5/15/2015 17:30:00,71.27
5/18/2015 17:30:00,72.47
5/19/2015 17:30:00,74.91
5/20/2015 17:30:00,75.19
5/21/2015 17:30:00,75.41
5/22/2015 17:30:00,75.18
5/26/2015 17:30:00,74.14
5/27/2015 17:30:00,74.77
5/28/2015 17:30:00,73.41
5/29/2015 17:30:00,71.48
6/1/2015 17:30:00,71.86
6/2/2015 17:30:00,70.12
6/3/2015 17:30:00,70.24
6/4/2015 17:30:00,69.52
6/5/2015 17:30:00,68.6
6/8/2015 17:30:00,67.29
6/9/2015 17:30:00,67.76
6/10/2015 17:30:00,69.99
